job_role,skills
Data Scientist,"Python,SQL,Machine Learning,Statistics,Data Analysis,Pandas"
DevOps Engineer,"AWS,Docker,Kubernetes,CI/CD,Automation,Linux"
Backend Developer,"Java,Python,SQL,APIs,Spring,REST"
Frontend Developer,"JavaScript,React,HTML,CSS,UI Design,TypeScript"
Cloud Architect,"AWS,Cloud Computing,Azure,Networking,Security,Automation"
Machine Learning Engineer,"Python,Machine Learning,TensorFlow,Deep Learning,Statistics,SQL"
Data Engineer,"Python,SQL,ETL,Data Pipelines,Spark,Cloud Computing"
Full Stack Developer,"JavaScript,Python,React,APIs,SQL,Node.js"
Site Reliability Engineer,"Linux,Automation,Kubernetes,Monitoring,CI/CD,Python"
Security Engineer,"Security,Networking,Linux,Penetration Testing,Cloud Computing,Automation"
Mobile Developer,"Java,Kotlin,Swift,UI Design,APIs,Mobile"
Database Administrator,"SQL,Database Design,Data Analysis,Linux,Backup Recovery,Security"
Systems Administrator,"Linux,Networking,Automation,Windows Server,Security,Monitoring"
AI Research Engineer,"Python,Machine Learning,Deep Learning,Statistics,Research,TensorFlow"
Product Manager,"Data Analysis,Communication,Agile,Roadmapping,UI Design,Strategy"
QA Automation Engineer,"Automation,Python,Testing,CI/CD,Java,APIs"
